expiration,T,daysToExpiry,type,exerciseType,strike,bid,ask,lastPrice,volume,openInterest,impliedVolatility
2026-05-26,0.027397,10,call,american,225.0,73.3,77.4,72.47,16.0,0.0,0.7226590234375
2026-05-26,0.027397,10,call,american,240.0,58.8,62.0,62.2,3.0,158.0,0.6064492480468751
2026-05-26,0.027397,10,call,american,260.0,39.25,42.1,39.2,2.0,250.0,0.689700368652344
2026-05-26,0.027397,10,call,american,272.5,26.55,29.6,28.0,3.0,,0.520390538330078
2026-05-26,0.027397,10,call,american,280.0,20.0,22.1,19.6,2.0,80.0,0.4167538793945312
2026-05-26,0.027397,10,call,american,282.5,17.45,19.9,17.81,3.0,,0.40369248657226564
2026-05-26,0.027397,10,call,american,285.0,14.35,17.85,17.5,3.0,182.0,0.3969786865234375
2026-05-26,0.027397,10,call,american,287.5,12.75,15.3,14.34,2.0,,0.35474278076171867
2026-05-26,0.027397,10,call,american,290.0,10.6,12.8,13.47,6.0,183.0,0.3147041186523437
2026-05-26,0.027397,10,call,american,292.5,9.0,10.2,9.25,15.0,,0.26758544921875
2026-05-26,0.027397,10,call,american,295.0,7.0,8.35,8.03,1126.0,400.0,0.25867440551757814
2026-05-26,0.027397,10,call,american,297.5,5.65,6.9,5.78,25.0,,0.26215337463378907
2026-05-26,0.027397,10,call,american,300.0,4.2,4.9,4.7,479.0,920.0,0.2301712725830078
2026-05-26,0.027397,10,call,american,302.5,2.86,3.85,3.65,197.0,,0.2348709326171875
2026-05-26,0.027397,10,call,american,305.0,2.15,2.6,2.55,1153.0,282.0,0.21936815795898437
2026-05-26,0.027397,10,call,american,307.5,1.36,1.92,1.8,211.0,,0.22266402343749997
2026-05-26,0.027397,10,call,american,310.0,1.0,1.34,1.29,417.0,252.0,0.22217574707031246
2026-05-26,0.027397,10,call,american,312.5,0.68,1.14,1.04,43.0,,0.23975369628906246
2026-05-26,0.027397,10,call,american,315.0,0.38,0.65,0.5,111.0,182.0,0.22657023437499998
2026-05-26,0.027397,10,call,american,317.5,0.32,0.48,0.73,41.0,,0.23352817260742187
2026-05-26,0.027397,10,call,american,320.0,0.22,0.49,0.25,54.0,85.0,0.25879647460937505
2026-05-26,0.027397,10,call,american,325.0,0.1,0.16,0.13,17.0,274.0,0.24463645996093752
2026-05-27,0.030137,11,call,american,265.0,34.35,37.2,35.15,1.0,1.0,0.6052285571289064
2026-05-27,0.030137,11,call,american,275.0,23.95,27.1,26.34,1.0,3.0,0.46533737792968755
